Sobrenomes
Lorezon
Loss
Lott
Lougun
Loureiro
Lourença
Lourenção
Lourenço
Lourneco
Louzada
Lovat
Lovatel
Lovatti
Lozano
Lubiana
Luca
Lucas
Lucca
Lucchetta
Luchi
Luciano
Luis
Luiz
Lunz
Lupino
Luzorio
Lyrio
Macatrozzi
Mace
Macedo
Machado
Maciel
Madsdatter
Madsen
Madureira
Mafra
Magaldi
Magalhães
Magnago
Magri
Magro
Mahtielo
Maia
Maida
Maifredi
Majeski
Majeveski
Malini
Malo
Malta
Malvezzi
Mamoni
Maneback
Manfredo
Manhães
Manoel
Mantoan
Mantovali
Marabote
Marangon
Maranguanhe
Marcantonio
Marcarini
Marchese
Marchi
Marchiori
Marchioro
Marcon
Maremiori
Marett
Maretto
Maria
Mariane
Marianelli
Mariani
Marim
Marin
Marinato
Marinho
Marini
Mariotto
Mark
Marochio
Maróquio
Maroto
Marotto
Marques
Marquette
Marquioro
Marsal
Martas
Martha
Martin
Martinatti
Martins
Martinsdatter
Martinsen
Martinussu
Mascarello
Mascarelo
Mascarenhas
Maset
Masioli
Massardi
Massari
Mastela
Mastella
Mastrantoni
Masut
Mateus
Mathias
Mathiasso
Mathiello
Mathiélo
Mathisen
Matiello
Matielo
Matioz
Matos
Matsuschita
Mattar
Mattos
Mauro
Mazoco
Mazzoco
Mazzon
McCune
Meato
Medeiros
Meger
Meira
Meirelles
Mello
Melo
Mendes
Mendonça
Menegardo
Meneghin
Meneguete
Meneses
Menezes
Mengale
Merenciano
Mergár
Merigue
Merotto
Mesquita
Michelsen
Mikkelsen
Milanez
Milaneze
Milanezi
Milena
Miller
Minatel
Minet
Minete
Minette
Minetti
Miniguite
Miniguiti
Miquelin
Miranda
Mistura
Mizzoni
Modesto
Modolo
Moitinho
Mol
Molinaroli
Monente
Monfardini
Moniz
Monstans
Montanaro
Monteiro
Montemor
Montezano
Montoan
Moraes
Morais
Mørch
Moreira
Morelo
Moresco
Morgan
Mori
Mork
Mørk
Moro
Morosini
Mortensdatter
Mortensen
Moschon
Moscon
Moser
Mosquini
Mosso
Moulin
Moura
Mozer
Muniz
Muraro
Muscareli
Mutk
Nacaratti
Nadai
Nagem
Nakamurada
Nalli
Napoleão
Nardi
Nascimento
Nassar
Nelson
Nerg
Néspoli
Netto
Neves
Nicole
Nicoli
Nicolini
Nielsdatter
Nielsen
Nielson
Nogueira
Noronha
Nosè
Novaes
Novais
Nucci
Nunes
Ockerman
Ogura
Oinhos
Olausdatter
Olausen
Olerdatter
Olimpio
Oliveira
Olivença
Oliveria
Oliviera
Olsdatter
Olsen
Onhas
Orechio
Orelio
Orletti
Ormo
Orsato
Osthed
Osti
Ostigui
Ostiguy
Ostitty
Ostity
Pacciani
Pacheca
Pacheco
Pachequa
Paes
Pagani
Pagiola
Pagot
Pagoto
Pagotte
Pagotto
Paiva
Paixão
Pajot
Palermo
Palma
Palù
Panciere
Pancini
Pancot
Pandini
Panhoca
Pantaroto
Paoli
Paoliello
Parent
Parente
Paresque
Paresqui
Pariz
Partelli
Pasca
Pase
Pasocco
Passamani
Passos
Pasti
Pastore
Patricio
Paula
Paulina
Paulo
Pauluccio
Pavan
Pazeto
Pazetto
Pazini
Pedarccini
Pedersdatter
Pedersen
Pedrazini
Pedrosa
Pedroza
Pêgas
Pegorer
Pegovaro
Peira
Peixoto
Penha
Penido
Penna
Peppelenbos
Perdigão
Perdoná
Pereira
Peretti
Pereyra
Perez
Perim
Perin
Periordi
Perizin
Perlatti
Peroni
Perota
Perovano
Perreira
Perreyra
Pertili
Peruchi
Pesca
Pescador
Pessali
Pessanha
Pessot
Peterele
Peterle
Peterli
Pezzim
Pezzin
Piai
Piaj
Piana
Pianassole
Pianessola
Pianessoli
Pianessolil
Pianezolla
Pianezzola
Pianissoli
Piasentin
Piassarolli
Piassi
Piaz
Piazzarollo
Piccin
Pierri
Pierro
Pietro
Pilati
Pilato/Pilati
Pillon
Pinheiro
Pino
Pinto
Piovezan
Pires
Pissin
Pitanga
Pizetta
Pizzeta
Pizzol
Plotegher
Point
Pola
Polesel
Polez
Poli
Polinini
Pollini
Polloni
Poloni
Pontara
Pontes
Portilio
Porto
Possebon
Pozinni
Pozza
Praba
Prado
Prata
Prates
Prati
Pravato
Premero
Premoli
Preta
Prieto
Provendel
Puljiz
Puppim
Puppo
Quaresma
Quartezani
Queirós
Queiroz
Quinelato
Quirino
Rabello
Rabelo
Ragazzi
Ragazzo
Rago
Ramiro
Ramos
Rangel
Raposo
Rasmusdatter
Rasmusen
Rasmussen
Rassato
Rauta
Razal
Réboli
Regiani
Reinehr
Reis
Renão
Renzo
Resende
Resolen
Rezende
Riatto
Ribeira
Ribeiro
Ricarte
Righetti
Rigo
Rigon
Rigone
Rigoni
Rigotto
Riguetto
Rios
Rissari
Rissi
Rivero
Rizatto
Rizenente
Rizzato
Rizzo
Rizzoli
Roberto
Rocha
Rochetti
Rochite
Rodrigues
Rodriques
Rogério
Romanha
Romanholi
Romanini
Romão
Roncheti
Ronqueti
Roriz
Ros
Rosa
Rosalina
Rosário
Rosas
Rosin
Rossato
Rossi
Rossim
Rossoni
Roza
Rozario
Rubens
Rúbia
Rufino
Rugero
Rui
Sacramento
Sagers
Saiter
Sala
Salamon
Sales
Salgado
Salles
Salomão
Salome
Salvador
Salvago
Sanavia
Sancao
Sandri
Sandrini
Sangali
Sangalli
Sansão
Sanson
Santa
Santana
Sant'Anna
Santiago
Santori
Santos
Sara
Sarnaglia
Sartori
Sartório
Sasso
Sbetti
Scalpelli
Scanferla
Scarabel
Scaramussa
Scaramuzza
Scarcinelli
Scardino
Schael
Scharra
Schbert
Schioter
Schneider
Schulthais
Scoot
Scott
Scotte
Scudeler
Seccom
Segrini
Seguro
Selva
Selvatici
Seraco
Serafim
Serata
Sesconeto
Sette
Sgario
Sgulmaro
Shael
Shibuya
Shoel
Shonio
Siciliano
Silotti
Silva
Silveira
Simoes
Simon
Simonato
Sipolatti
Siqueira
Smith
Soares
Soave
Sobrinho
Sodre
Soella
Solda
Soldan
Somera
Sørensdatter
Sørensen
Sossai
Sousa
Souza
Spadeto
Specciter
Sperandio
Speranza
Spigolon
Stebenne
Steele
Stefani
Stein
Stelzer
Strabelli
Stradiotto
Stringuine
Strozzi
Suave
Surep
Svendsdatter
Tagliaferro
Targa
Tassinari
Taufner
Tavares
Taylor
Tedesco
Tedoldi
Teganhe
Teixeira
Teles
Tereza
Terossi
Tessaro
Tessinari
Teves
Thiago
Thirine
Thomaz
Tiborcio
Toè
Toledo
Tolfano
Tomasi
Tomasine
Tomasini
Tomé
Ton
Tonet
Toneto
Tonin
Tonoli
Tonon
Torezani
Torres
Toscano
Tosi
Toste
Tostes
Tovar
Toze
Tozi
Tozzi
Trabach
Trancho
Travaglia
Trave
Tres
Trevisan
Trindade
Tripeno
Tristão
Trombini
Tronerin
Tsuchiya
Turbian
Turra
Tyrne
Uliana
Ultramar
Urbino
Vaccari
Vadagnin
Valani
Valdino
Valiate
Valiati
Valiatti
Valle
Valoto
Valvassori
Vanni
Vantil
Vanzan
Varella
Vargas
Vasconcellos
Vasconcelos
Vasoler
Vaz
Vecchi
Vekar
Veloso
Vendermiatti
Ventura
Venturim
Venturin
Venturini
Vereza
Verret
Vertuane
Vervloet
Vescovi
Vetorazzi
Viale
Viana
Vianna
Vicente
Vida
Vidotti
Viebrantz
Vieira
Viens
Vilar
Villa
Villares
Villela
Vinco
Vitorazzi
Vivacqua
Vivaldi
Volpato
Volponi
Voluzia
Vugarato
Wainer
Walker
Wallory
Wandermurem
Warner
Wash
Watanabe
Weiss
Werner
Woodward
Xavier
Zacchi
Zaganelli
Zaia
Zambon
Zamparoni
Zampiroli
Zampirolli
Zampirollo
Zan
Zanardo
Zanata
Zanatta
Zancanela
Zancanella
Zanchetin
Zanchetta
Zandonade
Zandonadi
Zanelato
Zanellato
Zanette
Zanetti
Zanichelli
Zanivan
Zanol
Zanon
Zanoni
Zantonelli
Zardo
Zavarise
Zavarize
Zerbone
Zerboni
Zicardi
Ziviani
Zocatelli
Zoppi
Zorzal
Zorzanelli
Zucatelli
Zuchi
Zucoloto
Zulianni
Zuqui
Zuza
